pair,openedAtMs,entryPrice,baseRiskUsd,effectiveRiskUsd,riskMultiplier,notionalUsd,stopDistanceUsd,initialStopPrice,v4Quality,v4Impulse,v4Retracement,v4Structure,v4Reclaim,v4Resumption,regime,direction,adx,atrPct,spreadPct,setupTag,openPositions,openLotsForPair,openRiskUsd,exitReason,netPnlUsd,rMultiple,mfeR,maeR,holdTimeMinutes,closedAtMs
SOL/USD,1778097900000,89.39,50,50,1,2701.7702936096657,1.6542857142857181,87.73571428571428,0.3339,1,0.1081081081081312,0,0.061624649859943655,0.49971154518401595,TREND,BULLISH,37.45807637724945,0.9267707082833155,0,PULLBACK_CONTINUATION,0,0,0,STRUCTURE_INVALIDATION,-13.318436960276342,-0.1692573402417965,0.09671848013816697,0.2841105354058709,160,1778107500000
SOL/USD,1778286900000,92.54,50,50,1,3111.3352545629173,1.4871428571428587,91.05285714285715,0.3056,1,0,0,0.15699436985708437,0.3710087113811147,TREND,BULLISH,30.7498320428318,0.8081419721458856,0,PULLBACK_CONTINUATION,0,0,0,TIME_EFFICIENCY,17.2416522574445,0.4572526416906766,1.001921229586931,0.10758885686840293,265,1778302800000
SOL/USD,1782053700000,73.86,50,50,1,3479.2732166890946,1.0614285714285725,72.79857142857142,0.4915,1,0.7881548974942707,0,0.16905599134433325,0.5004699335466937,TREND,BULLISH,39.36442052934369,0.7188328399218289,0,PULLBACK_CONTINUATION,0,0,0,TIME_EFFICIENCY,7.856487213997165,0.28263795423956634,0.5841184387617803,0.14131897711978986,185,1782064800000
SOL/USD,1782060300000,74,50,50,1,3435.0132625994665,1.077142857142858,72.92285714285714,0.3047,1,0.46933333333334604,0,0.05406866720735218,0,TREND,BULLISH,37.899103160276596,0.7271114196995128,0,PULLBACK_CONTINUATION,1,1,50,TIME_EFFICIENCY,10.976584880636807,0.3435013262599509,0.44562334217506966,0.1763925729442948,185,1782071400000
SOL/USD,1783043400000,81.52,50,50,1,2608.0438756855547,1.5628571428571445,79.95714285714286,0.4626,0.740554156171288,1,0,0.19658434697137692,0.3758161028215925,TREND,BULLISH,36.186559435396525,0.9690334467120192,0,BREAKOUT_RETEST,0,0,0,STRUCTURE_INVALIDATION,-30.904872029250203,-0.5246800731261376,0.03199268738573855,0.5118829981718441,70,1783047600000
SOL/USD,1783058700000,81.21,50,50,1,3297.3897911832983,1.23142857142857,79.97857142857143,0.3969,1,0.39618138424822713,0,0.04316724222989219,0.5453201970443629,TREND,BULLISH,37.24062956708655,0.7593910775953194,0,PULLBACK_CONTINUATION,0,0,0,TIME_EFFICIENCY,-18.916647331786287,-0.2598607888631038,0.07308584686775227,0.4385150812064906,185,1783069800000
SOL/USD,1784639400000,78.54,50,50,1,4690.955631399318,0.8371428571428571,77.70285714285716,0.4466,1,0.6915887850467282,0,0.05734675672231643,0.4842498302783951,TREND,BULLISH,27.17536384039061,0.5334158641154946,0,PULLBACK_CONTINUATION,0,0,0,STRUCTURE_INVALIDATION,-34.69993174061505,-0.5255972696245876,0,0.5853242320819222,95,1784645100000
SOL/USD,1787165100000,82.14,50,50,1,2635.105407882684,1.558571428571424,80.58142857142857,0.4195,1,0,1,0.09744214372715992,0,TREND,BULLISH,45.89782757642191,0.9547729898134183,0,PULLBACK_CONTINUATION,0,0,0,PROFIT,150.70797891842372,3.11182401466545,3.11182401466545,0.08340971585700924,165,1787175000000
SOL/USD,1787186400000,85.64,50,50,1,1637.9234972677623,2.61428571428571,83.02571428571429,0.4636,1,0,0.6311835701076282,0.10515247108307443,0.5817375058383936,TREND,BULLISH,58.939650330135855,1.531867874303123,0,PULLBACK_CONTINUATION,0,0,0,STRUCTURE_INVALIDATION,-20.91022404371584,-0.35956284153005436,0,0.35956284153005436,50,1787189400000
SOL/USD,1787217300000,87.57,50,50,1,1914.3972517176737,2.28714285714286,85.28285714285714,0.5428,1,0.6569105691056814,1,0.057110222729865406,0,TREND,BULLISH,64.38444633444088,1.3076860246671584,0,BREAKOUT_RETEST,0,0,0,TIME_EFFICIENCY,-21.79291068082422,-0.3672704559650167,0.17926296064959849,0.3847595252966871,185,1787228400000
SOL/USD,1787226600000,87.79,50,50,1,2055.2842809364506,2.13571428571429,85.65428571428572,0.4103,1,0,0.24086252788413806,0.3079379562043831,0.5028486626077785,TREND,BULLISH,65.81591334038781,1.2220841644050642,0,PULLBACK_CONTINUATION,1,1,50,STRUCTURE_INVALIDATION,-24.049073578595372,-0.4073578595317739,0,0.5150501672240831,40,1787229000000
SOL/USD,1787244300000,87.46,50,50,1,2585.3885135135065,1.691428571428576,85.76857142857142,0.3933,1,0.7037037037036864,0,0.26291723822588475,0,TREND,BULLISH,63.593167279260555,0.9686339316393172,0,PULLBACK_CONTINUATION,1,1,50,STRUCTURE_INVALIDATION,-23.26024915540521,-0.3724662162162125,0.17736486486487113,0.46706081081080486,135,1787252400000
SOL/USD,1787242200000,87.28,50,50,1,2580.0675675675607,1.691428571428576,85.58857142857143,0.4014,1,0.23222060957909108,0,0.2863360439812163,0.48859387352494277,TREND,BULLISH,63.593167279260555,0.9686339316393172,0,PULLBACK_CONTINUATION,0,0,0,STRUCTURE_INVALIDATION,-17.934514358108142,-0.26604729729729826,0.2837837837837854,0.36064189189189055,170,1787252400000
SOL/USD,1787254800000,87.39,50,50,1,2470.6381260096937,1.768571428571428,85.62142857142857,0.3052,1,0,0,0.0687363959216431,0.4575021240352052,TREND,BULLISH,61.52211010603421,1.0178242567745328,0,PULLBACK_CONTINUATION,0,0,0,TIME_EFFICIENCY,-8.966502423263234,-0.09046849757673477,0.20355411954765723,0.11873990306946337,185,1787265900000
