pair,lotId,signalId,setupTag,regimeAtEntry,directionAtEntry,entryPrice,exitPrice,volume,entryFeeUsd,exitFeeUsd,grossPnlUsd,netPnlUsd,rMultiple,exitReason,openedAtMs,closedAtMs,holdTimeMinutes,mfeUsd,maeUsd,mfeR,maeR,profitCapturePct,profitCaptureClass,givebackR,timeSinceLastMfeMin,rAt15m,rAt30m,rAt60m,rAt120m,rAt360m,initialStopPrice,initialStopDistanceUsd,riskUsd,notionalUsd,entryFee
SOL/USD,replay-SOL/USD-4,replay-SOL/USD-8,PULLBACK_CONTINUATION,TREND,BULLISH,92.54,93.22,33.62151777137365,2.8002017291066257,2.820778097982706,22.862632084533832,17.2416522574445,0.4572526416906766,TIME_EFFICIENCY,1778286900000,1778302800000,265,50.09606147934656,5.379442843420146,1.001921229586931,-0.12103746397694971,15.022416107382108,BAD,0.5446685878962545,55.0,-0.013448607108556339,0.07396733909702163,0.20172910662823995,0.6657060518731948,0.4975984630163265,91.05285714285715,1.4871428571428587,50,3111.3352545629173,2.8002017291066257
SOL/USD,replay-SOL/USD-5,replay-SOL/USD-10,PULLBACK_CONTINUATION,TREND,BULLISH,73.86,74.16,47.10632570659484,3.131345895020185,3.144064602960966,14.131897711978317,7.856487213997165,0.28263795423956634,TIME_EFFICIENCY,1782053700000,1782064800000,185,29.205921938089013,7.065948855989493,0.5841184387617803,-0.14131897711978986,-10.179677419355226,BAD,0.30148048452221393,70.0,0.04710632570659216,0.18842530282638204,0.19784656796769243,0.37685060565276407,-0.47106325706594837,72.79857142857142,1.0614285714285725,50,3479.2732166890946,3.131345895020185
SOL/USD,replay-SOL/USD-6,replay-SOL/USD-11,PULLBACK_CONTINUATION,TREND,BULLISH,74,74.37,46.419098143236035,3.09151193633952,3.1069694960212173,17.175066312997544,10.976584880636807,0.3435013262599509,TIME_EFFICIENCY,1782060300000,1782071400000,185,22.281167108753483,8.81962864721474,0.44562334217506966,-0.19496021220158555,1.2333333333342662,BAD,0.10212201591511877,180.0,0.3156498673740082,0.28779840848806554,0.27851458885941355,0.1114058355437707,-1.0305039787798393,72.92285714285714,1.077142857142858,50,3435.0132625994665,3.09151193633952
SOL/USD,replay-SOL/USD-7,replay-SOL/USD-15,BREAKOUT_RETEST,TREND,BULLISH,81.52,80.7,31.992687385740368,2.3472394881169993,2.323628884826323,-26.234003656306882,-30.904872029250203,-0.5246800731261376,STRUCTURE_INVALIDATION,1783043400000,1783047600000,70,1.5996343692869275,25.594149908592204,0.03199268738573855,-0.6270566727605047,-2432.336000000124,BAD,0.5566727605118762,70.0,0.03199268738573855,-0.10877513711151834,-0.4926873857403991,-0.6078610603290688,-0.17276051188299543,79.95714285714286,1.5628571428571445,50,2608.0438756855547,2.3472394881169993
SOL/USD,replay-SOL/USD-8,replay-SOL/USD-16,PULLBACK_CONTINUATION,TREND,BULLISH,81.21,80.89,40.603248259860834,2.9676508120649685,2.9559570765661287,-12.99303944315519,-18.916647331786287,-0.2598607888631038,TIME_EFFICIENCY,1783058700000,1783069800000,185,3.6542923433876133,21.92575406032453,0.07308584686775227,-0.4385150812064906,-796.2766666666289,BAD,0.3329466357308561,30.0,-0.2598607888631038,-0.4385150812064906,-0.26798143851508016,-0.12180974477957558,0.170533642691422,79.97857142857143,1.23142857142857,50,3297.3897911832983,2.9676508120649685
SOL/USD,replay-SOL/USD-9,replay-SOL/USD-24,PULLBACK_CONTINUATION,TREND,BULLISH,78.54,78.1,59.72696245733789,4.221860068259386,4.19820819112628,-26.279863481229384,-34.69993174061505,-0.5255972696245876,STRUCTURE_INVALIDATION,1784639400000,1784645100000,95,0,29.26621160409611,0,-0.8003412969283298,0,BAD,0.5255972696245876,50.0,-0.21501706484642455,-0.3703071672354976,-0.15529010238909005,-0.788395904436873,-0.9914675767918238,77.70285714285716,0.8371428571428571,50,4690.955631399318,4.221860068259386
SOL/USD,replay-SOL/USD-10,replay-SOL/USD-32,PULLBACK_CONTINUATION,TREND,BULLISH,82.14,86.99,32.080659945004676,2.371594867094416,2.511626947754361,155.5912007332725,150.70797891842372,3.11182401466545,PROFIT,1787165100000,1787175000000,165,155.5912007332725,4.170485792850462,3.11182401466545,-0.08340971585700924,91.30131958762885,EXCELLENT,0,25.0,-0.006416131989004217,0.10265811182401277,0.07057745187900992,0.3528872593950496,2.168652612282313,80.58142857142857,1.558571428571424,50,2635.105407882684,2.371594867094416
SOL/USD,replay-SOL/USD-11,replay-SOL/USD-33,PULLBACK_CONTINUATION,TREND,BULLISH,85.64,84.7,19.12568306010932,1.474131147540986,1.4579508196721336,-17.978142076502717,-20.91022404371584,-0.35956284153005436,STRUCTURE_INVALIDATION,1787186400000,1787189400000,50,0,17.978142076502717,0,-0.3939890710382525,0,BAD,0.35956284153005436,50.0,-0.2754098360655738,-0.3289617486338801,-0.2562841530054656,-0.3136612021857957,0.030601092896174263,83.02571428571429,2.61428571428571,50,1637.9234972677623,1.474131147540986
SOL/USD,replay-SOL/USD-12,replay-SOL/USD-34,BREAKOUT_RETEST,TREND,BULLISH,87.57,86.73,21.861336664584606,1.7229575265459063,1.7064303560274805,-18.363522798250834,-21.79291068082422,-0.3672704559650167,TIME_EFFICIENCY,1787217300000,1787228400000,185,8.963148032479925,19.237976264834355,0.17926296064959849,-0.43722673329169215,-308.71536585364777,BAD,0.5465334166146152,45.0,-0.10056214865708472,-0.04809494066208589,0.06121174266083715,-0.1967520299812565,-0.2710805746408449,85.28285714285714,2.28714285714286,50,1914.3972517176737,1.7229575265459063
SOL/USD,replay-SOL/USD-13,replay-SOL/USD-35,PULLBACK_CONTINUATION,TREND,BULLISH,87.79,86.92,23.411371237458145,1.8497558528428055,1.8314247491638758,-20.367892976588692,-24.049073578595372,-0.4073578595317739,STRUCTURE_INVALIDATION,1787226600000,1787229000000,40,0,25.752508361204157,0,-0.5712374581939849,0,BAD,0.4073578595317739,40.0,-0.5150501672240831,-0.4026755852842798,-0.3979933110367925,-0.5806020066889662,-0.018729096989969444,85.65428571428572,2.13571428571429,50,2055.2842809364506,1.8497558528428055
SOL/USD,replay-SOL/USD-15,replay-SOL/USD-37,PULLBACK_CONTINUATION,TREND,BULLISH,87.46,86.83,29.560810810810732,2.326849662162156,2.310088682432426,-18.623310810810626,-23.26024915540521,-0.3724662162162125,STRUCTURE_INVALIDATION,1787244300000,1787252400000,135,8.868243243243557,23.353040540540242,0.17736486486487113,-0.4788851351351268,-352.0113333333184,BAD,0.5498310810810836,70.0,0.12415540540540979,-0.04729729729729616,0.15371621621621884,-0.32516891891891636,-0.09459459459459232,85.76857142857142,1.691428571428576,50,2585.3885135135065,2.326849662162156
