fold,combo,trainScore,trainTrades,isBest
2,stale120_r0.3_gb1.8@0.6_atr2.5_fa1,-0.62,12,0
2,stale120_r0.5_gb0.8@0.4_atr2_fa0,-0.78,12,0
2,stale120_r0.5_gb0.8@0.4_atr2_fa1,-0.78,12,0
2,stale120_r0.5_gb0.8@0.4_atr2.5_fa0,-0.78,12,0
2,stale120_r0.5_gb0.8@0.4_atr2.5_fa1,-0.78,12,0
2,stale120_r0.5_gb0.8@0.6_atr2_fa0,-0.93,12,0
2,stale120_r0.5_gb0.8@0.6_atr2_fa1,-0.93,12,0
2,stale120_r0.5_gb0.8@0.6_atr2.5_fa0,-0.63,12,0
2,stale120_r0.5_gb0.8@0.6_atr2.5_fa1,-0.63,12,0
2,stale120_r0.5_gb1.2@0.4_atr2_fa0,-0.81,12,0
2,stale120_r0.5_gb1.2@0.4_atr2_fa1,-0.81,12,0
2,stale120_r0.5_gb1.2@0.4_atr2.5_fa0,-0.81,12,0
2,stale120_r0.5_gb1.2@0.4_atr2.5_fa1,-0.81,12,0
2,stale120_r0.5_gb1.2@0.6_atr2_fa0,-0.93,12,0
2,stale120_r0.5_gb1.2@0.6_atr2_fa1,-0.93,12,0
2,stale120_r0.5_gb1.2@0.6_atr2.5_fa0,-0.63,12,0
2,stale120_r0.5_gb1.2@0.6_atr2.5_fa1,-0.63,12,0
2,stale120_r0.5_gb1.8@0.4_atr2_fa0,-0.81,12,0
2,stale120_r0.5_gb1.8@0.4_atr2_fa1,-0.81,12,0
2,stale120_r0.5_gb1.8@0.4_atr2.5_fa0,-0.81,12,0
2,stale120_r0.5_gb1.8@0.4_atr2.5_fa1,-0.81,12,0
2,stale120_r0.5_gb1.8@0.6_atr2_fa0,-0.93,12,0
2,stale120_r0.5_gb1.8@0.6_atr2_fa1,-0.93,12,0
2,stale120_r0.5_gb1.8@0.6_atr2.5_fa0,-0.63,12,0
2,stale120_r0.5_gb1.8@0.6_atr2.5_fa1,-0.63,12,0
2,stale180_r0.3_gb0.8@0.4_atr2_fa0,-0.79,12,0
2,stale180_r0.3_gb0.8@0.4_atr2_fa1,-0.79,12,0
2,stale180_r0.3_gb0.8@0.4_atr2.5_fa0,-0.79,12,0
2,stale180_r0.3_gb0.8@0.4_atr2.5_fa1,-0.79,12,0
2,stale180_r0.3_gb0.8@0.6_atr2_fa0,-0.93,12,0
2,stale180_r0.3_gb0.8@0.6_atr2_fa1,-0.93,12,0
2,stale180_r0.3_gb0.8@0.6_atr2.5_fa0,-0.64,12,0
2,stale180_r0.3_gb0.8@0.6_atr2.5_fa1,-0.64,12,0
2,stale180_r0.3_gb1.2@0.4_atr2_fa0,-0.82,12,0
2,stale180_r0.3_gb1.2@0.4_atr2_fa1,-0.82,12,0
2,stale180_r0.3_gb1.2@0.4_atr2.5_fa0,-0.82,12,0
2,stale180_r0.3_gb1.2@0.4_atr2.5_fa1,-0.82,12,0
2,stale180_r0.3_gb1.2@0.6_atr2_fa0,-0.93,12,0
2,stale180_r0.3_gb1.2@0.6_atr2_fa1,-0.93,12,0
2,stale180_r0.3_gb1.2@0.6_atr2.5_fa0,-0.64,12,0
2,stale180_r0.3_gb1.2@0.6_atr2.5_fa1,-0.64,12,0
2,stale180_r0.3_gb1.8@0.4_atr2_fa0,-0.82,12,0
2,stale180_r0.3_gb1.8@0.4_atr2_fa1,-0.82,12,0
2,stale180_r0.3_gb1.8@0.4_atr2.5_fa0,-0.82,12,0
2,stale180_r0.3_gb1.8@0.4_atr2.5_fa1,-0.82,12,0
2,stale180_r0.3_gb1.8@0.6_atr2_fa0,-0.93,12,0
2,stale180_r0.3_gb1.8@0.6_atr2_fa1,-0.93,12,0
2,stale180_r0.3_gb1.8@0.6_atr2.5_fa0,-0.64,12,0
2,stale180_r0.3_gb1.8@0.6_atr2.5_fa1,-0.64,12,0
2,stale180_r0.5_gb0.8@0.4_atr2_fa0,-0.67,12,0
2,stale180_r0.5_gb0.8@0.4_atr2_fa1,-0.67,12,0
2,stale180_r0.5_gb0.8@0.4_atr2.5_fa0,-0.67,12,0
2,stale180_r0.5_gb0.8@0.4_atr2.5_fa1,-0.67,12,0
2,stale180_r0.5_gb0.8@0.6_atr2_fa0,-0.81,12,0
2,stale180_r0.5_gb0.8@0.6_atr2_fa1,-0.81,12,0
2,stale180_r0.5_gb0.8@0.6_atr2.5_fa0,-0.52,12,1
2,stale180_r0.5_gb0.8@0.6_atr2.5_fa1,-0.52,12,0
2,stale180_r0.5_gb1.2@0.4_atr2_fa0,-0.7,12,0
2,stale180_r0.5_gb1.2@0.4_atr2_fa1,-0.7,12,0
2,stale180_r0.5_gb1.2@0.4_atr2.5_fa0,-0.7,12,0
2,stale180_r0.5_gb1.2@0.4_atr2.5_fa1,-0.7,12,0
2,stale180_r0.5_gb1.2@0.6_atr2_fa0,-0.81,12,0
2,stale180_r0.5_gb1.2@0.6_atr2_fa1,-0.81,12,0
2,stale180_r0.5_gb1.2@0.6_atr2.5_fa0,-0.52,12,0
2,stale180_r0.5_gb1.2@0.6_atr2.5_fa1,-0.52,12,0
2,stale180_r0.5_gb1.8@0.4_atr2_fa0,-0.7,12,0
2,stale180_r0.5_gb1.8@0.4_atr2_fa1,-0.7,12,0
2,stale180_r0.5_gb1.8@0.4_atr2.5_fa0,-0.7,12,0
2,stale180_r0.5_gb1.8@0.4_atr2.5_fa1,-0.7,12,0
2,stale180_r0.5_gb1.8@0.6_atr2_fa0,-0.81,12,0
2,stale180_r0.5_gb1.8@0.6_atr2_fa1,-0.81,12,0
2,stale180_r0.5_gb1.8@0.6_atr2.5_fa0,-0.52,12,0
2,stale180_r0.5_gb1.8@0.6_atr2.5_fa1,-0.52,12,0
2,stale240_r0.3_gb0.8@0.4_atr2_fa0,-0.9,12,0
2,stale240_r0.3_gb0.8@0.4_atr2_fa1,-0.9,12,0
2,stale240_r0.3_gb0.8@0.4_atr2.5_fa0,-0.9,12,0
2,stale240_r0.3_gb0.8@0.4_atr2.5_fa1,-0.9,12,0
