fold,pair,lotId,entryTime,entryPrice,e0ExitTime,e1ExitTime,e0Reason,e1Reason,e0Net,e1Net,e0R,e1R,e0MfeR,e1MfeR,e0Capture,e1Capture,e0Giveback,e1Giveback,deltaNet,deltaR,deltaCapture,deltaGiveback
2,XRP/USD,replay-XRP/USD-1,1787279400000,1.29684,1787290500000,1787296200000,TIME_EFFICIENCY,TIME_EFFICIENCY,5.256966163906155,6.751563801240021,0.1412664630949085,0.17118534283335046,0.3499275161160991,0.3499275161160991,0.40370207139709197,0.4892022917584867,0.20866105302119062,0.17874217328274866,1.4945976373338663,0.029918879738441956,0.08550022036139471,-0.029918879738441956
2,XRP/USD,replay-XRP/USD-2,1787304300000,1.36499,1787313000000,1787307000000,BREAK_EVEN,MFE_GIVEBACK,-2.5314182459351255,20.84178771400893,-0.00433401529018968,0.4635512006029954,1.1522827608484951,1.1522827608484951,-0.0037612428454611986,0.4022894521668056,1.1566167761386847,0.6887315602454998,23.373205959944055,0.46788521589318505,0.4060506950122668,-0.467885215893185
2,XRP/USD,replay-XRP/USD-3,1787319900000,1.41154,1787331000000,1787331300000,TIME_EFFICIENCY,TIME_EFFICIENCY,-15.963247941964154,-12.431283562633741,-0.2835201269535413,-0.21281720673873972,0.10895900930898131,0.10895900930898131,-2.602080624187276,-1.953185955786747,0.3924791362625226,0.321776216047721,3.5319643793304127,0.07070292021480157,0.648894668400529,-0.07070292021480162
2,XRP/USD,replay-XRP/USD-4,1787320200000,1.41849,1787331300000,1787331900000,TIME_EFFICIENCY,TIME_EFFICIENCY,-17.27436146888596,-14.900733878983955,-0.30976601879463433,-0.2622507032125704,0.006203780075996248,0.006203780075996248,,,0.3159697988706306,0.26845448328856664,2.3736275899020054,0.047515315582063955,,-0.047515315582063955
2,XRP/USD,replay-XRP/USD-5,1787356800000,1.45424,1787375100000,1787375100000,PROFIT,PROFIT,152.96624009792063,152.96624009792063,3.098113103751789,3.098113103751789,3.089036197601496,3.089036197601496,1.0029384266061177,1.0029384266061177,-0.009076906150292885,-0.009076906150292885,0,0,0,0
2,XRP/USD,replay-XRP/USD-7,1787383800000,1.61324,1787385900000,1787385900000,EMERGENCY,EMERGENCY,-57.216099278470644,-57.216099278470644,-1.1093203739059283,-1.1093203739059283,0,0,,,1.1093203739059283,1.1093203739059283,0,0,,0
2,XRP/USD,replay-XRP/USD-6,1787383500000,1.59647,1787387400000,1787387400000,EMERGENCY,EMERGENCY,-53.95568974048992,-53.95568974048992,-1.0440534429084163,-1.0440534429084163,0.20119388400658905,0.20119388400658905,-5.189290161892912,-5.189290161892912,1.2452473269150053,1.2452473269150053,0,0,0,0
2,XRP/USD,replay-XRP/USD-8,1788470100000,1.47409,1788474600000,1788474600000,STRUCTURE_INVALIDATION,STRUCTURE_INVALIDATION,-37.93981060201499,-37.93981060201499,-0.6932963081633372,-0.6932963081633372,0,0,,,0.6932963081633372,0.6932963081633372,0,0,,0
2,XRP/USD,replay-XRP/USD-9,1788496200000,1.45547,1788499800000,1788499800000,STRUCTURE_INVALIDATION,STRUCTURE_INVALIDATION,-12.723776989952253,-12.723776989952253,-0.1893037839378606,-0.1893037839378606,0.020202380104039935,0.020202380104039935,,,0.20950616404190053,0.20950616404190053,0,0,,0
2,XRP/USD,replay-XRP/USD-10,1788514500000,1.45437,1788517800000,1788517800000,STRUCTURE_INVALIDATION,STRUCTURE_INVALIDATION,-19.744141991427227,-19.744141991427227,-0.30487264127703445,-0.30487264127703445,0.01793368478100473,0.01793368478100473,,,0.32280632605803916,0.32280632605803916,0,0,,0
2,XRP/USD,replay-XRP/USD-11,1788941100000,1.4436,1788946200000,1788946200000,STRUCTURE_INVALIDATION,STRUCTURE_INVALIDATION,-36.04719440133682,-36.04719440133682,-0.612928255938877,-0.612928255938877,0,0,,,0.612928255938877,0.612928255938877,0,0,,0
