policy,pair,lotId,exitReason,entryPrice,exitPrice,volume,grossPnlUsd,entryFeeUsd,exitFeeUsd,netPnlUsd,rMultiple,mfeR,holdTimeMinutes,openedAtMs,closedAtMs
E1,SOL/USD,replay-SOL/USD-15,STRUCTURE_INVALIDATION,104.61,107.86,16.517225106182163,53.68098159509203,1.5550802265219443,1.6033931099575274,50.522508258612554,1.0736196319018407,1.7640396413402561,740,1787838000000,1787882400000
E1,SOL/USD,replay-SOL/USD-18,TIME_EFFICIENCY,105.18,104.93,21.91609267376331,-5.479023168440827,2.0746211646837827,2.0696900438321855,-9.623334376956795,-0.10958046336881655,0.2103944896681233,195,1788461700000,1788473400000
E1,SOL/USD,replay-SOL/USD-17,TIME_EFFICIENCY,104.97,104.93,21.91609267376331,-0.876643706950358,2.070479023168441,2.0696900438321855,-5.016812773950985,-0.01753287413900716,0.3024420788979327,200,1788461400000,1788473400000
E1,SOL/USD,replay-SOL/USD-19,STRUCTURE_INVALIDATION,104.29,103.69,23.14814814814816,-13.888888888889094,2.1727083333333344,2.160208333333334,-18.22180555555576,-0.2777777777777819,0,60,1788496200000,1788499800000
E1,SOL/USD,replay-SOL/USD-20,TIME_EFFICIENCY,105.99,106.76,28.5248573757131,21.964140179299378,2.7210146699266478,2.7407823960880178,16.502343113284713,0.4392828035859876,0.5819070904645531,195,1788686400000,1788698100000
E1,SOL/USD,replay-SOL/USD-21,STRUCTURE_INVALIDATION,107.13,106.27,26.138909634055263,-22.47946228528751,2.520235250186706,2.5000037341299475,-27.499701269604163,-0.4495892457057502,0,110,1788699300000,1788705900000
E1,XRP/USD,replay-XRP/USD-1,TIME_EFFICIENCY,1.29684,1.30794,771.1051478979674,8.559267141667522,0.9,0.9077033404275008,6.751563801240021,0.17118534283335046,0.3499275161160991,280,1787279400000,1787296200000
E1,XRP/USD,replay-XRP/USD-2,MFE_GIVEBACK,1.36499,1.38959,942.1772369979512,23.177560030149767,1.15745625605685,1.1783160600839848,20.84178771400893,0.4635512006029954,1.1522827608484951,45,1787304300000,1787307000000
E1,XRP/USD,replay-XRP/USD-3,TIME_EFFICIENCY,1.41154,1.39652,708.4460943366819,-10.640860336936985,0.9,0.8904232256967566,-12.431283562633741,-0.21281720673873972,0.10895900930898131,190,1787319900000,1787331300000
E1,XRP/USD,replay-XRP/USD-4,TIME_EFFICIENCY,1.41849,1.39989,704.9750086359438,-13.11253516062852,0.9,0.8881987183554343,-14.900733878983955,-0.2622507032125704,0.006203780075996248,195,1787320200000,1787331900000
E1,XRP/USD,replay-XRP/USD-5,PROFIT,1.45424,1.67951,687.6444053251183,154.90565518758947,0.9,1.0394150896688306,152.96624009792063,3.098113103751789,3.089036197601496,305,1787356800000,1787375100000
E1,XRP/USD,replay-XRP/USD-7,EMERGENCY,1.61324,1.52376,619.8705710247699,-55.46601869529641,0.8999999999999998,0.8500805831742331,-57.216099278470644,-1.1093203739059283,0,35,1787383800000,1787385900000
E1,XRP/USD,replay-XRP/USD-6,EMERGENCY,1.59647,1.51313,626.3819551886348,-52.202672145420806,0.8999999999999999,0.8530175950691211,-53.95568974048992,-1.0440534429084163,0.20119388400658905,65,1787383500000,1787387400000
E1,XRP/USD,replay-XRP/USD-8,STRUCTURE_INVALIDATION,1.47409,1.44627,1246.0393748442457,-34.66481540816686,1.6530967638577385,1.6218984299903882,-37.93981060201499,-0.6932963081633372,0,75,1788470100000,1788474600000
E1,XRP/USD,replay-XRP/USD-9,STRUCTURE_INVALIDATION,1.45547,1.44788,1247.0605002494135,-9.46518919689303,1.6335532316682124,1.6250345613910087,-12.723776989952253,-0.1893037839378606,0.020202380104039935,60,1788496200000,1788499800000
